company,role,job_link,location,remote,status,date_applied,follow_up_date,contact_name,contact_email,contact_link,notes
OpenAI,"Frontend Software Engineer, Codex App",https://openai.com/careers/frontend-software-engineer-codex-app-san-francisco/,"San Francisco / Seattle / London, UK",No,Blocked,,,,,,"Official Ashby form inspected on 2026-06-12; strong fit for React/TypeScript, design engineering, Electron-quality UX, and human-agent interaction design, but blocked by required earliest-start-date, current-work-authorization, future-visa-sponsorship, and 3-days-per-week US office answers, plus arbitration/certification acknowledgements."
xAI,Data Engineer,https://job-boards.greenhouse.io/xai/jobs/5120884007,"Palo Alto, CA",No,Blocked,,,,,,"Official Greenhouse application inspected on 2026-06-11; strong fit for training-data pipelines, anomaly analysis, evaluation frameworks, Python, forecasting, and model-debugging instincts; blocked by required future-US-sponsorship answer and practical onsite/relocation posture for Palo Alto; exceptional-work prompt can be answered from prepared text in the automation artifacts."
xAI,"Software Engineer - Data",https://job-boards.greenhouse.io/xai/jobs/5124616007,"Palo Alto, CA",No,Blocked,,,,,,"Official Greenhouse application inspected on 2026-06-11; strong fit for Python/React/Postgres/data platforms, monitoring, and reliable training-data systems; blocked by required future-US-sponsorship answer and practical onsite/relocation posture for Palo Alto; exceptional-work prompt can be answered from prepared text in the automation artifacts."
Hello Patient,"Prompting & AI Agent Research Engineer",https://jobs.ashbyhq.com/hellopatient/137742bf-6fa6-4ef7-9cc6-4dc48c70b450,"New York, NY",No,Not qualified,,,,,,"Official role page metadata verified on 2026-06-11; must-have requirements include 5+ years in prompting/AI research/applied AI plus an advanced research-oriented degree (PhD preferred), so this is not a clean fit for Ian's current confirmed resume facts."
Sweed,AI Product Engineer,https://jobs.ashbyhq.com/sweedpos.com/b2335d86-ace5-4773-acf4-3d5c89c2a008/application,Remote International,Yes,Blocked,,,,,,"Official Ashby application inspected and filled on 2026-06-11; strong remote AI product-engineering fit across Python/SQL/TypeScript/React/workflow automation. All required facts were known, but the official submit returned 'Your application submission was flagged as possible spam' with Ashby error type RECAPTCHA_SCORE_BELOW_THRESHOLD, so no submission was confirmed."
Camber,AI Product Engineer,https://jobs.ashbyhq.com/camber/d85afd85-0014-4607-b4ce-587941026093/application,"New York, NY",No,Blocked,,,,,,"Official Ashby form inspected on 2026-06-11; high-upside healthcare AI product role with $190K-$230K base plus equity, but blocked by a required confirmation that the candidate is comfortable working hybrid from Camber's Flatiron NYC office 3-5x/week. Custom why-Camber and healthcare-AI answer fields are otherwise submittable."
Crux,AI Product Engineer,https://jobs.ashbyhq.com/cruxclimate/de7fb381-026b-420a-8366-f04dffd64f61/application,"Remote US/Canada",Yes,Blocked,,,,,,"Official Ashby form inspected on 2026-06-11; strong climate/AI product-engineering fit with $150K-$250K base, but blocked by a required demo link or recording of an LLM-powered product plus mandatory motivation and production-AI-experience short answers."
WorkOS,Applied AI Engineer,https://jobs.ashbyhq.com/workos/5e650527-d8dd-413a-9cfb-d7d68143274b/application,Remote United States,Yes,Blocked,,,,,,"Official Ashby form inspected on 2026-06-11; strong AI platform/developer-infrastructure fit with $175K-$275K base plus equity, but blocked by required U.S. work-authorization and future employment-visa sponsorship answers."
Pareto,Applied AI Engineer,https://jobs.ashbyhq.com/pareto-ai/4f5fe995-7828-437e-b80c-0132efba1b20/application,US Remote,Yes,Blocked,,,,,,"Official Ashby form inspected on 2026-06-11; high-comp remote applied-AI role with $225K-$275K base plus equity, but blocked by required current work-authorization and earliest-start-date answers. Compensation expectations can be answered from the packet if the legal/timeline facts are confirmed."
Trace Labs,"Software Engineer, Full Stack",https://jobs.ashbyhq.com/tracelabs/963005ce-f4f1-4d54-957d-139b7849cb4a/application,United States remote,Yes,Blocked,,,,,,"Official Ashby form inspected on 2026-06-12; strong physical-AI data-platform fit across Python, TypeScript/React, PostgreSQL, data pipelines, observability, and customer-facing product ownership, but blocked by required U.S. work-authorization and future-visa-sponsorship answers."
OpenAI,"Software Engineer, Observability",https://jobs.ashbyhq.com/openai/d4dcd344-40cf-44d6-a7dd-172118eb0842/application,"San Francisco, CA",No,Blocked,,,,,,"Official Ashby form inspected on 2026-06-13; exceptional observability/reliability fit across telemetry, dashboards, anomaly detection, and engineering tooling, but blocked by required current-location, earliest-start-date, current-work-authorization, future-visa-sponsorship, and 3-days-per-week office answers, plus required arbitration/certification acknowledgements."
Together AI,"Backend Software Engineer - Data Platform & AI Data Products",https://job-boards.greenhouse.io/togetherai/jobs/5064263007,"San Francisco, CA",No,Blocked,,,,,,"Official Greenhouse form inspected on 2026-06-13; high-signal Together AI backend/data-platform role with 0-4 years scope, prompt-taxonomy/evaluation overlap, and optional cover-letter upload, but blocked by required 4-days-per-week San Francisco office answer plus current-work-authorization and future-sponsorship answers."
Teamworks,"Senior Applied AI Engineer",https://jobs.ashbyhq.com/teamworks/2564b994-e9ce-4aa1-8400-9f143c79b635/application,United States,Yes,Blocked,,,,,,"Official Ashby form inspected on 2026-06-13; excellent sports-tech AI fit for AI Advantage Sports plus TypeScript/Node/GenAI product work, but blocked by a required U.S.-citizen-only answer, intended-work-location answer, and company-specific short-answer fields. 'How did you hear about Teamworks?' can be answered truthfully as company careers page."
Mirage (Captions),"Software Engineer, Early Career",https://jobs.ashbyhq.com/mirage/cbf278fd-84ec-48d9-8052-b76abb035ac7/application,"Union Square, New York City",No,Blocked,,,,,,"Official Ashby form inspected on 2026-06-13; strong Captions/Mirage multimodal AI and product-engineering fit with $160K-$165K base plus equity, but blocked by required future-visa-sponsorship and NYC office-willingness answers, plus tailored project/interest short answers best supplied directly."
Titan AI,Applied AI Engineer,https://jobs.ashbyhq.com/titan-ai/297cf9a9-289d-4cd5-a4a1-1e051f6f5d64/application,United States,Yes,Not qualified,,,,,,"Official Ashby role/application inspected on 2026-06-13; compelling remote fintech AI role with $200K-$300K base plus equity, but the posting explicitly requires 5+ years of software-engineering experience and 2+ years building production agentic AI or RAG systems, which is beyond current confirmed resume facts."
ElevenLabs,Engineering - Internal AI Transformation,https://jobs.ashbyhq.com/elevenlabs/a3097257-a07a-4a7e-b9fe-b8555c1a0fa7/application,Remote (United States eligible),Yes,Submitted,2026-06-13,2026-06-20,,,,,"Submitted through official Ashby application form with resume PDF; confirmation page displayed Thank you for applying to ElevenLabs! We'll be in touch via email shortly. Tailored responses emphasized internal agentic workflows, Python/SQL systems, evaluation/monitoring, and operational automation."
ElevenLabs,Forward Deployed Engineer - Software Engineer,https://jobs.ashbyhq.com/elevenlabs/6c4c57c1-ec72-42ba-af3a-eb7aebbde2e6/application,Remote,Yes,Blocked,,,,,,Official Ashby form filled on 2026-06-13 after a same-day ElevenLabs submission; final submit returned a domain-wide limit message: As you have applied for a position in this domain within the last 90 days you cannot submit an application for this position. This is an official application-limit blocker rather than a missing-facts blocker.
Perplexity,"Member of Technical Staff (AI Software Engineer, Agents)",https://jobs.ashbyhq.com/perplexity/4ab39122-1d15-4874-8ab7-c6a241472743/application,"San Francisco, CA",No,Blocked,,,,,,"Official Ashby form inspected on 2026-06-13; newly published on 2026-06-12 with $220K-$405K plus equity and strong agent/evals/product fit, but blocked by required future-U.S.-sponsorship answer, required 4-days-per-week San Francisco office answer, and a required exercise-submission shared URL. Phone and location fields are known and not blockers."
Harvey,Integration Engineer,https://jobs.ashbyhq.com/harvey/9cb5be7c-24ea-406d-975b-83342a6dee39/application,Remote,Yes,Blocked,,,,,,"Official Ashby form inspected on 2026-06-14; remote Harvey integration-engineering role with $133.5K-$200.3K base plus equity/bonus and strong overlap on Python/JavaScript APIs, automation, and data pipelines, but blocked by required current legal address, current U.S. work-authorization, and future employment-visa sponsorship answers. The form also requires phone, LinkedIn, and legal/preferred-name fields."
Arize,"Forward Deployed AI Engineer, East",https://job-boards.greenhouse.io/arizeai/jobs/5993755004,Remote (New York),Yes,Blocked,,,,,,"Official Greenhouse form inspected on 2026-06-14; strong AI observability/evals forward-deployed fit with 2-5 years scope and a $125K-$175K range, but blocked by required future sponsorship and U.S. work-authorization answers. The NYC-metro-or-EST field can be answered truthfully from Fairmont, WV because Ian is in Eastern Time."
